"PROJECT_CODE","YEAR","n","LM_P_","LM_P_CI_","TM_P_","TM_P_CI_","MT1_P_","MT1_P_CI_","MT2_P_","MT2_P_CI_","MT3_P_","MT3_P_CI_","MT4_P_","MT4_P_CI_","MT5_P_","MT5_P_CI_","MT6_P_","MT6_P_CI_","MT7_P_","MT7_P_CI_","MT8_P_","MT8_P_CI_","MT9_P_","MT9_P_CI_","MT10_P_","MT10_P_CI_","MM_P_","MM_P_CI_","TF_P_","TF_P_CI_","FT11_P_","FT11_P_CI_","FT12_P_","FT12_P_CI_","FT13_P_","FT13_P_CI_","MF_P_","MF_P_CI_"
"T04","2000",16,82374.000000,72974.000000,1820868.000000,754144.000000,72355.000000,62342.000000,8461.000000,8226.000000,0.000000,0.000000,1558.000000,3319.000000,367893.000000,193458.000000,12664.000000,10759.000000,374131.000000,244961.000000,16853.000000,9198.000000,453588.000000,385289.000000,513366.000000,484620.000000,462931.000000,257057.000000,943271.000000,592957.000000,692520.000000,549354.000000,210296.000000,284597.000000,40455.000000,35725.000000,250751.000000,301589.000000
"T04","2001",16,96951.000000,61266.000000,3084224.000000,1995590.000000,71087.000000,58767.000000,24336.000000,29442.000000,0.000000,0.000000,1527.000000,3253.000000,291470.000000,245292.000000,100999.000000,121308.000000,295442.000000,233112.000000,23664.000000,19751.000000,655741.000000,651717.000000,1619958.000000,1424833.000000,489419.000000,307372.000000,2609066.000000,2353086.000000,2161815.000000,2321558.000000,141553.000000,121441.000000,305699.000000,378723.000000,447251.000000,437516.000000
"T04","2002",14,88010.000000,69895.000000,4101726.000000,2098934.000000,86220.000000,69943.000000,1790.000000,2626.000000,0.000000,0.000000,0.000000,0.000000,193703.000000,166590.000000,17333.000000,14740.000000,470715.000000,320505.000000,28883.000000,26409.000000,1275475.000000,908968.000000,2027607.000000,1530058.000000,299045.000000,232356.000000,3185316.000000,1718798.000000,2750107.000000,1524651.000000,403665.000000,395925.000000,31544.000000,26648.000000,435209.000000,410903.000000
"T04","2003",16,48717.000000,52980.000000,3464914.000000,1726501.000000,37338.000000,38073.000000,11379.000000,15764.000000,0.000000,0.000000,0.000000,0.000000,269638.000000,144600.000000,19256.000000,12505.000000,671434.000000,346494.000000,38812.000000,24763.000000,1188614.000000,765382.000000,1228442.000000,785663.000000,337612.000000,189449.000000,1559741.000000,1081698.000000,1315229.000000,976196.000000,224989.000000,120899.000000,19523.000000,18890.000000,244512.000000,134582.000000
"T04","2004",16,110930.000000,75834.000000,3623284.000000,1875763.000000,85104.000000,72951.000000,25826.000000,39565.000000,0.000000,0.000000,0.000000,0.000000,567194.000000,355612.000000,116727.000000,138214.000000,952916.000000,608965.000000,84773.000000,92629.000000,1119199.000000,815602.000000,671544.000000,383097.000000,794851.000000,424350.000000,3132939.000000,2526689.000000,1244052.000000,618088.000000,915781.000000,832021.000000,973106.000000,1557325.000000,1888886.000000,2164265.000000
"T04","2005",15,45676.000000,41786.000000,1809679.000000,1083062.000000,27582.000000,13707.000000,18094.000000,33534.000000,0.000000,0.000000,0.000000,0.000000,173290.000000,132424.000000,174049.000000,289264.000000,97374.000000,72785.000000,89613.000000,100359.000000,185975.000000,185648.000000,1043700.000000,883598.000000,393016.000000,441602.000000,1209980.000000,840474.000000,985618.000000,829221.000000,49309.000000,58247.000000,175053.000000,300672.000000,224362.000000,356513.000000
"T04","2006",17,214520.000000,278492.000000,1857249.000000,1827892.000000,201015.000000,264191.000000,13505.000000,19804.000000,0.000000,0.000000,0.000000,0.000000,184778.000000,275263.000000,42544.000000,62194.000000,187480.000000,239348.000000,43426.000000,34892.000000,154867.000000,228045.000000,1029633.000000,1391906.000000,441843.000000,577045.000000,966597.000000,1325638.000000,937529.000000,1319050.000000,23261.000000,28182.000000,5807.000000,10777.000000,29068.000000,36427.000000
"T04","2007",16,162504.000000,238989.000000,1143914.000000,1252423.000000,46048.000000,70374.000000,115685.000000,191090.000000,771.000000,1643.000000,0.000000,0.000000,278535.000000,481091.000000,94526.000000,152167.000000,148046.000000,269536.000000,28121.000000,46494.000000,92716.000000,118151.000000,339466.000000,226565.000000,535565.000000,864367.000000,2113093.000000,3767243.000000,603481.000000,604255.000000,1493354.000000,3149506.000000,16258.000000,34631.000000,1509612.000000,3184135.000000
"T04","2008",16,103535.000000,130587.000000,1264232.000000,784561.000000,60820.000000,56053.000000,40049.000000,73508.000000,2665.000000,5678.000000,0.000000,0.000000,136701.000000,117961.000000,98126.000000,186229.000000,93492.000000,90155.000000,60401.000000,72864.000000,223927.000000,374688.000000,548050.000000,384258.000000,338362.000000,417264.000000,796856.000000,403518.000000,567254.000000,339559.000000,101152.000000,154571.000000,128451.000000,228257.000000,229603.000000,310934.000000
"T04","2009",15,143882.000000,141993.000000,3195079.000000,2338396.000000,106865.000000,141846.000000,37017.000000,49983.000000,0.000000,0.000000,0.000000,0.000000,422420.000000,378450.000000,132365.000000,151482.000000,798415.000000,672235.000000,54097.000000,44234.000000,643343.000000,644835.000000,1000556.000000,767836.000000,698667.000000,505724.000000,2946561.000000,2007361.000000,1416060.000000,1161372.000000,766164.000000,933655.000000,764337.000000,886720.000000,1530501.000000,1167925.000000
