"YEAR","PROJECT_CODE","n","A","bigN","LM_CBar","LM_varC","LM_varCBar","LM_P","LM_VarP","LM_P_CI","TM_CBar","TM_varC","TM_varCBar","TM_P","TM_VarP","TM_P_CI","SM_CBar","SM_varC","SM_varCBar","SM_P","SM_VarP","SM_P_CI","TF_CBar","TF_varC","TF_varCBar","TF_P","TF_VarP","TF_P_CI"
"2001","T06",40,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2002","T04",14,81.231001,12339.229851,0.912457,4.511050,0.321852,11258.804936,49002226.817504,15122.924186,6.341402,210.076790,14.988459,78246.493216,2282002777.70888,103201.486116,5.428944,177.615324,12.672414,66987.688279,1929383355.52462,94893.645407,24.697406,4412.062678,314.789770,304741.032177,47926947401.2400,472952.745733
"2002","T05",19,771.862373,117248.182588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2003","T04",16,81.231001,12339.229851,0.559783,1.175109,0.073349,6907.165386,11167445.467543,7122.820089,12.103026,447.302535,27.920158,149339.108070,4250862229.29902,138967.603949,11.543242,411.565924,25.689516,142431.942683,3911245535.24548,133300.750613,17.277045,1483.637005,92.607075,213181.279365,14099487502.5974,253091.009561
"2003","T05",17,771.862373,117248.182588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2003","T06",40,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2004","T04",16,81.231001,12339.229851,0.875000,5.183333,0.323538,10796.615420,49258911.244374,14959.513119,4.321570,75.449079,4.709452,53323.814435,717017270.467419,57074.203965,3.446570,42.566011,2.656926,42527.199014,404518725.874985,42869.100403,5.375656,177.843904,11.100831,66330.169147,1690108768.14027,87625.877913
"2004","T05",22,771.862373,117248.182588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2005","T04",15,81.231001,12339.229851,0.856247,2.200158,0.146498,10565.225120,22304553.082721,10129.333424,3.311186,19.103070,1.271989,40856.698674,193661285.538122,29847.331512,2.454939,12.253972,0.815938,30291.473554,124227154.481475,23905.199522,2.692810,60.779626,4.047049,33226.558754,616165905.469840,53239.373464
"2005","T05",21,771.862373,117248.182588,0.048100,0.048585,0.002313,5639.533164,31798637.926637,11762.806463,0.095247,0.090504,0.004308,11167.392404,59233496.495024,16054.263151,0.047147,0.046680,0.002222,5527.859240,30551754.761196,11529.879602,0.047619,0.047619,0.002267,5583.137832,31165845.031896,11645.178399
